ATECO,ATECO_Desc,Natura,Fatturato,Dipendenti,Provincia,Business_Size,Revenue_Size,Industry,Total_Revenue_36M,Active_Months
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,139258,2,TO,Micro (1-10),Small (100k-1M),Wholesale/Retail,214309,30
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.a Impresa,275724,6,VA,Micro (1-10),Small (100k-1M),Transportation,309550,36
S.94.00.00,ATTIVITÀ DI ORGANIZZAZIONI ASSOCIATIVE,1.a Impresa,0,0,MN,No employees,No revenue,Other Services,161984,15
J.62.09.09,Altre attività dei servizi connessi alle tecnologie dell'informatica nca,1.a Impresa,10511529,157,MI,Medium (51-250),Large (>10M),Information/Technology,237327,36
J.62.01.00,Produzione di software non connesso all'edizione,1.a Impresa,13012278,22,MO,Small (11-50),Large (>10M),Information/Technology,219168,35
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.a Impresa,1127089,7,MB,Micro (1-10),Medium (1M-10M),Transportation,277170,36
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.a Impresa,1340663,6,BR,Micro (1-10),Medium (1M-10M),Business Services,377184,36
G.46.42.40,Commercio all'ingrosso di calzature e accessori,1.a Impresa,15228193,12,RM,Small (11-50),Large (>10M),Wholesale/Retail,204491,26
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.a Impresa,10332740,12,SP,Small (11-50),Large (>10M),Business Services,213683,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,494135,1,Unknown,Micro (1-10),Small (100k-1M),Wholesale/Retail,317236,36
